Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (basic)...
Model found. Size: 24, Elapsed: 0.000018541s
Model found. Size: 23, Elapsed: 0.000002459s
Model found. Size: 22, Elapsed: 0.000001667s
Model found. Size: 21, Elapsed: 0.000001542s
Model found. Size: 20, Elapsed: 0.000001333s
Model found. Size: 19, Elapsed: 0.000001250s
Model found. Size: 18, Elapsed: 0.000001167s
Model found. Size: 17, Elapsed: 0.000001042s
Model found. Size: 16, Elapsed: 0.000000959s
Model found. Size: 8, Elapsed: 0.000001375s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 23, Elapsed: 0.000002292s
Model found. Size: 22, Elapsed: 0.000001875s
Model found. Size: 21, Elapsed: 0.000001292s
Model found. Size: 20, Elapsed: 0.000001333s
Model found. Size: 19, Elapsed: 0.000001208s
Model found. Size: 18, Elapsed: 0.000001209s
Model found. Size: 17, Elapsed: 0.000001208s
Model found. Size: 16, Elapsed: 0.000001042s
Model found. Size: 15, Elapsed: 0.000001209s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000001000s
Model found. Size: 12, Elapsed: 0.000001041s
Model found. Size: 8, Elapsed: 0.000001041s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 22, Elapsed: 0.000002417s
Model found. Size: 21, Elapsed: 0.000001667s
Model found. Size: 20, Elapsed: 0.000001250s
Model found. Size: 19, Elapsed: 0.000001292s
Model found. Size: 18, Elapsed: 0.000001250s
Model found. Size: 17, Elapsed: 0.000001125s
Model found. Size: 16, Elapsed: 0.000001125s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000000958s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 21, Elapsed: 0.000002625s
Model found. Size: 20, Elapsed: 0.000001542s
Model found. Size: 19, Elapsed: 0.000001209s
Model found. Size: 18, Elapsed: 0.000001167s
Model found. Size: 17, Elapsed: 0.000001292s
Model found. Size: 16, Elapsed: 0.000001250s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000001083s
Model found. Size: 13, Elapsed: 0.000000958s
Model found. Size: 12, Elapsed: 0.000001125s
Model found. Size: 7, Elapsed: 0.000000916s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 23, Elapsed: 0.000006791s
Model found. Size: 22, Elapsed: 0.000001916s
Model found. Size: 21, Elapsed: 0.000001417s
Model found. Size: 20, Elapsed: 0.000001375s
Model found. Size: 19, Elapsed: 0.000001541s
Model found. Size: 18, Elapsed: 0.000001459s
Model found. Size: 17, Elapsed: 0.000001333s
Model found. Size: 16, Elapsed: 0.000001292s
Model found. Size: 15, Elapsed: 0.000001084s
Model found. Size: 14, Elapsed: 0.000001083s
Model found. Size: 13, Elapsed: 0.000001167s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000000958s
Model found. Size: 10, Elapsed: 0.000000833s
Model found. Size: 9, Elapsed: 0.000000708s
Model found. Size: 8, Elapsed: 0.000000625s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 22, Elapsed: 0.000006708s
Model found. Size: 21, Elapsed: 0.000001834s
Model found. Size: 20, Elapsed: 0.000001417s
Model found. Size: 19, Elapsed: 0.000001333s
Model found. Size: 18, Elapsed: 0.000001334s
Model found. Size: 17, Elapsed: 0.000001333s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001250s
Model found. Size: 8, Elapsed: 0.000001125s
UNSAT. Elapsed: 0.000000166s
Model found. Size: 21, Elapsed: 0.000006500s
Model found. Size: 20, Elapsed: 0.000001834s
Model found. Size: 19, Elapsed: 0.000001417s
Model found. Size: 18, Elapsed: 0.000001250s
Model found. Size: 17, Elapsed: 0.000001250s
Model found. Size: 16, Elapsed: 0.000001250s
Model found. Size: 15, Elapsed: 0.000001375s
Model found. Size: 14, Elapsed: 0.000001333s
Model found. Size: 9, Elapsed: 0.000000833s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 20, Elapsed: 0.000042542s
Model found. Size: 19, Elapsed: 0.000001791s
Model found. Size: 18, Elapsed: 0.000001291s
Model found. Size: 17, Elapsed: 0.000001292s
Model found. Size: 16, Elapsed: 0.000001250s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001167s
Model found. Size: 8, Elapsed: 0.000000875s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 20, Elapsed: 0.000028959s
Model found. Size: 19, Elapsed: 0.000001709s
Model found. Size: 18, Elapsed: 0.000001375s
Model found. Size: 17, Elapsed: 0.000001292s
Model found. Size: 16, Elapsed: 0.000001250s
Model found. Size: 15, Elapsed: 0.000001000s
Model found. Size: 14, Elapsed: 0.000001125s
Model found. Size: 13, Elapsed: 0.000000875s
Model found. Size: 12, Elapsed: 0.000000792s
Model found. Size: 8, Elapsed: 0.000000833s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 20, Elapsed: 0.000013750s
Model found. Size: 19, Elapsed: 0.000001584s
Model found. Size: 18, Elapsed: 0.000001333s
Model found. Size: 17, Elapsed: 0.000001250s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001000s
Model found. Size: 14, Elapsed: 0.000001000s
Model found. Size: 13, Elapsed: 0.000001041s
Model found. Size: 8, Elapsed: 0.000000833s
UNSAT. Elapsed: 0.000000125s
Model found. Size: 20, Elapsed: 0.000013583s
Model found. Size: 19, Elapsed: 0.000001792s
Model found. Size: 18, Elapsed: 0.000001333s
Model found. Size: 17, Elapsed: 0.000001250s
Model found. Size: 16, Elapsed: 0.000001208s
Model found. Size: 15, Elapsed: 0.000001000s
Model found. Size: 14, Elapsed: 0.000001083s
Model found. Size: 13, Elapsed: 0.000000834s
Model found. Size: 12, Elapsed: 0.000000792s
Model found. Size: 8, Elapsed: 0.000000792s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 20, Elapsed: 0.000013167s
Model found. Size: 19, Elapsed: 0.000001667s
Model found. Size: 18, Elapsed: 0.000001375s
Model found. Size: 17, Elapsed: 0.000001292s
Model found. Size: 16, Elapsed: 0.000001167s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000001208s
Model found. Size: 8, Elapsed: 0.000000791s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 19, Elapsed: 0.000015083s
Model found. Size: 18, Elapsed: 0.000001458s
Model found. Size: 17, Elapsed: 0.000001167s
Model found. Size: 16, Elapsed: 0.000001042s
Model found. Size: 15, Elapsed: 0.000001042s
Model found. Size: 14, Elapsed: 0.000000792s
