benchmark,mds-basic,mds-trans,mis-basic,mis-trans
grid4×1,"time：0.000
results：4","time：0.000
results：4","time：0.000
results：3","time：0.000
results：3"
grid4×2,"time：0.000
results：18","time：0.000
results：18","time：0.000
results：6","time：0.000
results：6"
grid4×3,"time：0.000
results：53","time：0.000
results：53","time：0.000
results：18","time：0.000
results：18"
grid4×4,"time：0.050
results：306","time：0.020
results：306","time：0.000
results：42","time：0.000
results：42"
grid4×5,"time：1.430
results：1167","time：0.580
results：1167","time：0.010
results：108","time：0.000
results：108"
grid4×6,"time：46.620
results：4939","time：27.310
results：4939","time：0.080
results：274","time：0.000
results：274"
grid4×7,"time：629.610
results：21313","time：timeout
results：-","time：0.990
results：692","time：0.000
results：692"
grid4×8,"time：timeout
results：-","time：timeout
results：-","time：7.610
results：1754","time：0.000
results：1754"
grid4×9,"time：timeout
results：-","time：timeout
results：-","time：95.420
results：4442","time：0.020
results：4442"
grid4×10,"time：timeout
results：-","time：timeout
results：-","time：700.300
results：11248","time：0.060
results：11248"
grid4×11,"time：timeout
results：-","time：1526.920
results：-","time：timeout
results：-","time：0.320
results：28488"
grid4×12,"time：timeout
results：-","time：787.990
results：-","time：timeout
results：-","time：1.930
results：72146"
grid4×13,"time：timeout
results：-","time：651.130
results：-","time：timeout
results：-","time：15.420
results：182712"
grid4×14,"time：timeout
results：-","time：673.090
results：-","time：timeout
results：-","time：157.680
results：462728"
grid4×15,"time：timeout
results：-","time：716.600
results：-","time：timeout
results：-","time：1273.020
results：1171876"
grid4×16,"time：timeout
results：-","time：653.300
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×17,"time：timeout
results：-","time：707.350
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×18,"time：timeout
results：-","time：708.610
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×19,"time：timeout
results：-","time：687.820
results：-","time：timeout
results：-","time：timeout
results：-"
grid4×20,"time：timeout
results：-","time：752.400
results：-","time：timeout
results：-","time：timeout
results：-"
