benchmark,mds-basic,mds-trans,mis-basic,mis-trans
grid3×1,"time：0.000
results：2","time：0.000
results：2","time：0.000
results：2","time：0.000
results：2"
grid3×2,"time：0.000
results：7","time：0.000
results：7","time：0.000
results：4","time：0.000
results：4"
grid3×3,"time：0.000
results：16","time：0.000
results：16","time：0.000
results：10","time：0.000
results：10"
grid3×4,"time：0.000
results：53","time：0.000
results：53","time：0.000
results：18","time：0.000
results：18"
grid3×5,"time：0.010
results：154","time：0.000
results：154","time：0.000
results：38","time：0.000
results：38"
grid3×6,"time：0.150
results：436","time：0.010
results：436","time：0.000
results：78","time：0.000
results：78"
grid3×7,"time：1.860
results：1268","time：0.030
results：1268","time：0.020
results：156","time：0.000
results：156"
grid3×8,"time：26.320
results：3660","time：0.130
results：3660","time：0.130
results：320","time：0.000
results：320"
grid3×9,"time：182.350
results：10610","time：0.580
results：10610","time：0.510
results：654","time：0.010
results：654"
grid3×10,"time：1361.240
results：30744","time：3.620
results：30744","time：3.370
results：1326","time：0.020
results：1326"
grid3×11,"time：timeout
results：-","time：24.840
results：89079","time：24.080
results：2706","time：0.050
results：2706"
grid3×12,"time：timeout
results：-","time：207.900
results：258251","time：114.720
results：5518","time：0.140
results：5518"
grid3×13,"time：timeout
results：-","time：timeout
results：-","time：584.700
results：11228","time：0.360
results：11228"
grid3×14,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：1.520
results：22884"
grid3×15,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：5.260
results：46634"
grid3×16,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：23.530
results：94978"
grid3×17,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：110.720
results：193518"
grid3×18,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：756.590
results：394286"
grid3×19,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×20,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×21,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×22,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×23,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×24,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
grid3×25,"time：timeout
results：-","time：timeout
results：-","time：timeout
results：-","time：timeout
results：-"
