Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (basic)...
Model found. Size: 24, Elapsed: 0.000012s
Model found. Size: 23, Elapsed: 0.000003s
Model found. Size: 22, Elapsed: 0.000002s
Model found. Size: 21, Elapsed: 0.000001s
Model found. Size: 20, Elapsed: 0.000001s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 23, Elapsed: 0.000002s
Model found. Size: 22, Elapsed: 0.000002s
Model found. Size: 21, Elapsed: 0.000001s
Model found. Size: 20, Elapsed: 0.000001s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 12, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 22, Elapsed: 0.000003s
Model found. Size: 21, Elapsed: 0.000002s
Model found. Size: 20, Elapsed: 0.000001s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 21, Elapsed: 0.000003s
Model found. Size: 20, Elapsed: 0.000002s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 12, Elapsed: 0.000001s
Model found. Size: 7, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 23, Elapsed: 0.000008s
Model found. Size: 22, Elapsed: 0.000002s
Model found. Size: 21, Elapsed: 0.000001s
Model found. Size: 20, Elapsed: 0.000001s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 12, Elapsed: 0.000001s
Model found. Size: 11, Elapsed: 0.000001s
Model found. Size: 10, Elapsed: 0.000001s
Model found. Size: 9, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 22, Elapsed: 0.000007s
Model found. Size: 21, Elapsed: 0.000002s
Model found. Size: 20, Elapsed: 0.000001s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 21, Elapsed: 0.000007s
Model found. Size: 20, Elapsed: 0.000002s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 9, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000045s
Model found. Size: 19, Elapsed: 0.000002s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000028s
Model found. Size: 19, Elapsed: 0.000002s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 12, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000012s
Model found. Size: 19, Elapsed: 0.000002s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000013s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 12, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000012s
Model found. Size: 19, Elapsed: 0.000001s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 19, Elapsed: 0.000015s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 13, Elapsed: 0.000001s
Model found. Size: 8, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 20, Elapsed: 0.000016s
Model found. Size: 19, Elapsed: 0.000002s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
Model found. Size: 16, Elapsed: 0.000001s
Model found. Size: 15, Elapsed: 0.000001s
Model found. Size: 14, Elapsed: 0.000001s
Model found. Size: 9, Elapsed: 0.000001s
UNSAT. Elapsed: 0.000000s
Model found. Size: 19, Elapsed: 0.000017s
Model found. Size: 18, Elapsed: 0.000001s
Model found. Size: 17, Elapsed: 0.000001s
