Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (trans)...
Model found. Size: 8, Elapsed: 0.000032s
Model found. Size: 10, Elapsed: 0.000027s
Model found. Size: 10, Elapsed: 0.000021s
Model found. Size: 8, Elapsed: 0.000083s
Model found. Size: 8, Elapsed: 0.000026s
Model found. Size: 9, Elapsed: 0.000039s
Model found. Size: 9, Elapsed: 0.000035s
Model found. Size: 8, Elapsed: 0.000028s
Model found. Size: 8, Elapsed: 0.000013s
Model found. Size: 8, Elapsed: 0.000013s
Model found. Size: 9, Elapsed: 0.000011s
Model found. Size: 8, Elapsed: 0.000028s
Model found. Size: 8, Elapsed: 0.000009s
Model found. Size: 8, Elapsed: 0.000012s
Model found. Size: 8, Elapsed: 0.000007s
Model found. Size: 9, Elapsed: 0.000026s
Model found. Size: 8, Elapsed: 0.000033s
Model found. Size: 8, Elapsed: 0.000025s
Model found. Size: 8, Elapsed: 0.000026s
Model found. Size: 8, Elapsed: 0.000023s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 9, Elapsed: 0.000027s
Model found. Size: 9, Elapsed: 0.000024s
Model found. Size: 9, Elapsed: 0.000023s
Model found. Size: 9, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000027s
Model found. Size: 8, Elapsed: 0.000023s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000021s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000021s
Model found. Size: 8, Elapsed: 0.000021s
Model found. Size: 8, Elapsed: 0.000020s
Model found. Size: 8, Elapsed: 0.000026s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000024s
Model found. Size: 9, Elapsed: 0.000025s
Model found. Size: 8, Elapsed: 0.000025s
Model found. Size: 9, Elapsed: 0.000025s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000029s
Model found. Size: 9, Elapsed: 0.000029s
Model found. Size: 10, Elapsed: 0.000022s
Model found. Size: 9, Elapsed: 0.000029s
Model found. Size: 8, Elapsed: 0.000027s
Model found. Size: 8, Elapsed: 0.000025s
Model found. Size: 8, Elapsed: 0.000026s
Model found. Size: 9, Elapsed: 0.000024s
Model found. Size: 9, Elapsed: 0.000022s
Model found. Size: 9, Elapsed: 0.000033s
Model found. Size: 9, Elapsed: 0.000023s
Model found. Size: 8, Elapsed: 0.000026s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000024s
Model found. Size: 8, Elapsed: 0.000022s
Model found. Size: 8, Elapsed: 0.000021s
Model found. Size: 8, Elapsed: 0.000020s
Model found. Size: 9, Elapsed: 0.000023s
Model found. Size: 9, Elapsed: 0.000022s
Model found. Size: 9, Elapsed: 0.000023s
Model found. Size: 9, Elapsed: 0.000064s
Model found. Size: 9, Elapsed: 0.000067s
Model found. Size: 8, Elapsed: 0.000049s
Model found. Size: 8, Elapsed: 0.000043s
Model found. Size: 9, Elapsed: 0.000031s
Model found. Size: 9, Elapsed: 0.000053s
Model found. Size: 8, Elapsed: 0.000043s
Model found. Size: 9, Elapsed: 0.000045s
Model found. Size: 7, Elapsed: 0.000015s
Model found. Size: 8, Elapsed: 0.000013s
Model found. Size: 8, Elapsed: 0.000009s
Model found. Size: 9, Elapsed: 0.000046s
Model found. Size: 9, Elapsed: 0.000040s
Model found. Size: 9, Elapsed: 0.000034s
Model found. Size: 8, Elapsed: 0.000033s
Model found. Size: 8, Elapsed: 0.000040s
Model found. Size: 8, Elapsed: 0.000042s
Model found. Size: 8, Elapsed: 0.000038s
Model found. Size: 8, Elapsed: 0.000029s
Model found. Size: 8, Elapsed: 0.000029s
