benchmark,mds-basic,mds-trans,mis-basic,mis-trans
grid3×1,"time：0.000
results：2
cnf_vars_before：3
cnf_clauses_before：3
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：7","time：0.000
results：2
cnf_vars_before：3
cnf_clauses_before：6
cnf_vars_after：10
cnf_clauses_after：16
solver_calls：2","time：0.000
results：2
cnf_vars_before：3
cnf_clauses_before：2
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：6","time：0.000
results：2
cnf_vars_before：3
cnf_clauses_before：2
cnf_vars_after：3
cnf_clauses_after：5
solver_calls：2"
grid3×2,"time：0.000
results：7
cnf_vars_before：6
cnf_clauses_before：6
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：23","time：0.000
results：7
cnf_vars_before：6
cnf_clauses_before：12
cnf_vars_after：26
cnf_clauses_after：60
solver_calls：7","time：0.000
results：4
cnf_vars_before：6
cnf_clauses_before：7
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：11","time：0.000
results：4
cnf_vars_before：6
cnf_clauses_before：7
cnf_vars_after：6
cnf_clauses_after：13
solver_calls：4"
grid3×3,"time：0.000
results：16
cnf_vars_before：9
cnf_clauses_before：9
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：62","time：0.000
results：16
cnf_vars_before：9
cnf_clauses_before：18
cnf_vars_after：42
cnf_clauses_after：110
solver_calls：16","time：0.000
results：10
cnf_vars_before：9
cnf_clauses_before：12
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：23","time：0.000
results：10
cnf_vars_before：9
cnf_clauses_before：12
cnf_vars_after：9
cnf_clauses_after：21
solver_calls：10"
grid3×4,"time：0.000
results：53
cnf_vars_before：12
cnf_clauses_before：12
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：207","time：0.000
results：53
cnf_vars_before：12
cnf_clauses_before：24
cnf_vars_after：58
cnf_clauses_after：160
solver_calls：53","time：0.000
results：18
cnf_vars_before：12
cnf_clauses_before：17
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：48","time：0.000
results：18
cnf_vars_before：12
cnf_clauses_before：17
cnf_vars_after：12
cnf_clauses_after：29
solver_calls：18"
grid3×5,"time：0.010
results：154
cnf_vars_before：15
cnf_clauses_before：15
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：594","time：0.000
results：154
cnf_vars_before：15
cnf_clauses_before：30
cnf_vars_after：74
cnf_clauses_after：210
solver_calls：154","time：0.000
results：38
cnf_vars_before：15
cnf_clauses_before：22
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：101","time：0.000
results：38
cnf_vars_before：15
cnf_clauses_before：22
cnf_vars_after：15
cnf_clauses_after：37
solver_calls：38"
grid3×6,"time：0.150
results：436
cnf_vars_before：18
cnf_clauses_before：18
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：1743","time：0.010
results：436
cnf_vars_before：18
cnf_clauses_before：36
cnf_vars_after：90
cnf_clauses_after：260
solver_calls：436","time：0.010
results：78
cnf_vars_before：18
cnf_clauses_before：27
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：203","time：0.000
results：78
cnf_vars_before：18
cnf_clauses_before：27
cnf_vars_after：18
cnf_clauses_after：45
solver_calls：78"
grid3×7,"time：1.890
results：1268
cnf_vars_before：21
cnf_clauses_before：21
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：5502","time：0.030
results：1268
cnf_vars_before：21
cnf_clauses_before：42
cnf_vars_after：106
cnf_clauses_after：310
solver_calls：1268","time：0.020
results：156
cnf_vars_before：21
cnf_clauses_before：32
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：440","time：0.000
results：156
cnf_vars_before：21
cnf_clauses_before：32
cnf_vars_after：21
cnf_clauses_after：53
solver_calls：156"
grid3×8,"time：26.780
results：3660
cnf_vars_before：24
cnf_clauses_before：24
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：17406","time：0.130
results：3660
cnf_vars_before：24
cnf_clauses_before：48
cnf_vars_after：122
cnf_clauses_after：360
solver_calls：3660","time：0.120
results：320
cnf_vars_before：24
cnf_clauses_before：37
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：907","time：0.000
results：320
cnf_vars_before：24
cnf_clauses_before：37
cnf_vars_after：24
cnf_clauses_after：61
solver_calls：320"
grid3×9,"time：183.980
results：10610
cnf_vars_before：27
cnf_clauses_before：27
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：49864","time：0.580
results：10610
cnf_vars_before：27
cnf_clauses_before：54
cnf_vars_after：138
cnf_clauses_after：410
solver_calls：10610","time：0.510
results：654
cnf_vars_before：27
cnf_clauses_before：42
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：1870","time：0.010
results：654
cnf_vars_before：27
cnf_clauses_before：42
cnf_vars_after：27
cnf_clauses_after：69
solver_calls：654"
grid3×10,"time：1391.660
results：30744
cnf_vars_before：30
cnf_clauses_before：30
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：138754","time：3.570
results：30744
cnf_vars_before：30
cnf_clauses_before：60
cnf_vars_after：154
cnf_clauses_after：460
solver_calls：30744","time：3.500
results：1326
cnf_vars_before：30
cnf_clauses_before：47
cnf_vars_after：-
cnf_clauses_after：-
solver_calls：3746","time：0.020
results：1326
cnf_vars_before：30
cnf_clauses_before：47
cnf_vars_after：30
cnf_clauses_after：77
solver_calls：1326"
